ques,skill
561,27
405,36
299,36
364,16
259,9
239,3
543,24
186,6
574,2
357,4
421,7
201,13
326,35
406,18
589,9
84,13
147,23
398,32
463,9
414,4
516,24
265,33
549,30
383,16
78,36
194,0
322,6
151,38
341,28
269,21
48,22
291,36
456,5
311,32
189,6
323,6
641,5
485,14
53,2
443,26
337,17
34,16
466,0
402,6
140,6
150,38
14,28
276,25
413,12
349,18
330,14
121,20
352,23
7,7
113,25
527,24
480,38
606,25
444,26
425,22
91,6
573,9
238,25
303,5
158,14
448,5
626,30
10,8
242,13
368,0
170,6
493,22
630,9
348,3
317,34
56,2
356,16
25,33
557,6
546,15
592,0
196,0
360,4
447,9
603,0
162,7
644,10
279,25
416,12
28,25
173,25
310,12
397,17
71,14
333,23
508,15
519,24
428,13
565,0
572,36
166,13
21,22
458,23
81,36
230,25
576,6
197,0
429,5
344,28
44,14
481,24
261,30
545,27
2,17
537,23
192,16
294,36
451,38
497,5
89,3
204,26
165,7
467,0
511,6
208,5
63,14
193,16
123,37
556,23
378,16
514,35
116,25
652,23
306,5
420,36
633,0
507,22
530,24
17,15
119,35
154,2
625,5
446,21
226,27
655,24
82,13
591,30
394,1
647,29
415,33
648,6
272,21
29,25
386,6
439,9
450,18
282,25
408,12
470,5
263,30
74,14
234,3
534,17
377,33
128,3
389,35
588,6
506,25
621,21
70,7
183,33
245,17
500,5
257,9
229,27
176,30
313,17
104,23
461,4
636,5
218,17
442,9
274,25
651,21
336,18
454,1
211,5
66,14
157,34
423,4
503,24
1,24
16,22
476,25
370,16
59,2
134,5
287,9
381,16
538,9
551,37
643,22
435,5
100,21
248,17
583,16
40,6
260,9
522,6
544,6
179,30
491,9
135,5
587,4
199,17
20,24
31,24
51,2
85,13
160,25
283,25
297,36
328,14
613,25
237,3
111,25
627,27
320,37
513,23
324,25
628,0
240,13
566,25
255,11
620,5
347,23
316,17
598,4
350,28
267,21
570,31
202,13
300,18
277,25
445,27
604,20
407,0
187,6
532,22
585,25
290,0
42,24
608,17
400,6
464,9
4,24
495,5
653,24
213,36
319,26
214,9
61,14
449,10
30,26
145,13
62,6
354,16
54,2
122,20
11,31
479,38
577,6
525,14
597,21
103,25
114,25
243,17
358,4
224,13
338,35
622,32
391,28
99,27
528,24
152,2
623,5
15,24
266,33
392,20
426,22
384,16
79,36
195,0
562,13
278,25
342,28
593,37
270,21
27,25
535,23
292,36
232,3
661,0
126,3
190,6
399,0
650,9
163,7
231,25
212,30
536,23
217,5
26,10
634,37
509,24
141,6
250,11
18,15
498,5
227,27
216,36
8,7
125,25
164,7
616,6
345,28
314,31
440,18
304,5
295,36
494,7
555,23
539,15
87,25
547,28
171,6
433,15
37,24
611,12
318,34
57,2
285,9
600,30
215,30
459,0
542,16
436,7
280,25
417,12
489,37
334,23
177,30
143,37
512,20
167,13
387,16
607,19
307,5
441,5
45,14
139,30
482,24
3,17
569,1
132,18
235,3
550,15
478,8
101,21
353,4
409,12
94,9
375,19
471,5
209,5
220,5
75,14
155,34
253,11
124,37
568,23
558,9
379,16
109,3
219,36
117,25
136,38
120,21
273,25
410,12
184,33
246,17
581,16
298,36
258,9
90,25
531,24
185,6
6,22
60,2
660,25
83,13
554,16
649,6
523,28
72,3
159,8
504,24
93,35
288,0
390,20
371,16
182,0
97,23
129,3
340,28
181,13
36,22
47,22
656,14
637,0
363,35
564,25
645,22
52,2
618,23
501,14
325,17
105,23
462,4
33,16
200,13
366,36
473,22
599,9
149,38
275,25
412,12
580,5
474,5
329,14
223,5
67,14
515,24
579,27
404,35
264,33
424,22
382,16
146,23
174,5
268,21
492,13
249,17
629,0
552,27
241,13
659,10
41,6
367,18
595,25
610,23
32,15
43,24
203,13
484,23
161,7
401,16
86,13
172,25
432,12
632,37
465,9
457,23
312,32
80,36
374,16
385,16
575,6
614,25
112,25
624,38
302,5
553,14
191,16
293,36
180,25
526,6
640,0
222,21
13,15
35,24
55,2
434,26
571,13
488,15
339,35
301,18
403,38
477,5
332,14
355,16
396,17
115,25
188,6
605,38
359,4
419,18
138,5
108,13
609,17
130,10
221,30
431,1
118,26
335,33
487,9
468,5
518,24
153,2
24,28
496,5
654,24
548,15
351,23
563,13
362,32
343,28
77,30
5,23
131,10
331,35
281,25
321,9
469,5
262,30
438,36
207,5
430,32
73,14
127,3
168,13
567,6
23,31
169,5
205,26
631,27
244,17
602,0
453,20
142,6
590,16
520,28
499,5
92,5
256,9
309,12
540,6
9,7
50,8
529,24
395,33
133,33
594,13
206,26
541,7
658,25
305,5
210,5
427,12
156,34
271,21
502,24
617,20
475,25
601,12
369,16
88,3
286,9
559,6
233,3
393,1
578,37
225,17
646,10
582,16
69,7
510,6
521,6
175,34
635,37
251,11
144,37
198,17
490,27
228,27
388,16
533,16
0,38
346,28
483,24
64,22
315,31
452,18
296,36
252,11
327,14
96,20
236,3
455,38
517,22
560,2
38,24
58,2
596,13
376,19
460,0
437,7
19,28
418,12
39,6
365,18
12,7
178,30
106,23
586,13
107,15
372,17
46,14
68,14
486,20
615,3
289,0
612,25
361,25
110,25
102,21
639,6
373,17
657,14
137,6
95,0
284,25
472,5
638,37
422,4
524,24
254,11
505,20
22,24
642,16
380,16
619,23
308,18
65,22
76,22
148,38
98,19
411,12
49,14
584,20
247,17
