ques,skill
181,44
529,4
153,71
353,7
382,52
216,38
226,70
79,60
237,70
334,21
417,37
209,8
146,68
572,69
143,44
572,78
104,71
290,72
607,35
491,80
553,64
254,15
138,69
43,60
435,26
341,19
18,3
286,83
495,77
55,61
162,44
413,53
604,11
279,71
320,72
100,78
374,52
385,52
523,4
625,61
449,64
229,70
618,31
63,56
6,61
545,37
207,69
213,0
219,34
282,72
461,74
93,56
191,70
74,61
200,57
603,5
24,60
474,40
130,78
614,29
328,62
142,70
47,61
342,6
602,82
154,44
405,53
596,11
249,25
260,25
625,56
446,63
301,72
131,69
522,58
115,70
458,64
105,44
127,44
241,66
149,68
302,72
337,39
107,71
192,57
203,57
121,15
559,70
28,34
17,34
583,27
331,62
345,6
141,78
415,52
430,59
10,3
289,83
439,37
450,37
596,82
438,81
610,35
607,11
524,4
568,47
377,52
89,3
420,32
549,15
340,21
66,56
476,40
487,40
86,34
224,75
393,33
526,59
546,37
358,84
217,45
40,3
297,83
308,83
499,50
183,70
477,22
206,44
133,69
9,61
407,52
460,64
336,19
617,29
442,37
502,51
589,56
616,73
157,44
534,40
369,52
613,31
256,13
570,69
582,34
46,60
397,7
570,78
163,78
277,72
517,81
582,61
300,83
175,70
572,44
195,57
605,41
199,18
19,60
469,40
0,56
388,52
164,69
39,56
620,29
275,13
537,22
577,58
137,70
348,6
608,82
538,14
453,37
602,35
1,56
151,71
165,15
111,44
582,56
214,38
510,37
235,70
77,60
509,81
552,15
58,56
69,56
80,56
594,30
42,48
427,20
597,41
263,25
242,2
251,69
12,34
186,70
630,65
598,5
130,44
136,78
288,72
96,60
88,56
264,25
434,37
598,41
551,64
411,53
480,22
520,58
612,43
623,43
486,74
513,37
227,70
395,72
61,56
50,56
471,40
541,37
616,31
562,69
400,7
562,78
535,61
243,23
211,0
578,13
292,83
303,83
555,57
577,57
494,50
610,82
429,79
72,61
351,7
433,58
380,52
205,69
245,16
309,19
536,61
140,70
457,15
600,82
141,44
403,53
623,56
299,72
467,74
152,71
91,61
408,6
93,3
565,69
589,36
103,44
365,53
565,78
51,15
493,77
284,83
147,68
225,15
602,11
266,25
119,15
318,72
372,52
15,34
26,34
383,52
612,24
312,19
615,29
611,77
269,57
592,82
82,60
543,37
280,72
291,72
110,69
608,35
504,54
589,40
601,5
33,60
315,47
619,31
64,56
463,40
391,33
528,20
631,42
34,61
247,16
356,84
603,41
258,25
593,15
627,17
27,3
7,61
354,7
125,44
84,3
238,70
418,37
440,37
75,61
178,46
189,46
105,71
201,57
25,60
470,74
325,83
468,1
170,69
45,56
466,40
447,63
425,26
496,77
298,83
569,70
239,15
193,57
375,52
386,52
421,28
230,70
94,60
338,21
547,15
273,13
359,53
576,69
136,44
576,78
283,72
294,72
329,39
38,3
128,67
600,35
557,64
204,44
68,34
561,25
584,27
36,60
360,53
416,52
479,1
507,81
428,26
181,78
394,33
511,51
614,73
220,15
562,44
155,44
166,44
608,11
261,25
626,56
313,72
324,72
367,52
378,52
143,78
210,77
116,70
171,15
497,36
286,72
59,48
150,68
250,15
80,3
560,70
571,70
101,44
134,78
618,29
332,62
272,57
346,6
398,7
158,44
179,76
60,48
305,72
22,3
290,83
451,37
135,69
431,58
70,34
233,70
592,30
67,56
89,56
362,53
488,40
48,15
423,81
436,20
111,71
196,57
563,70
610,11
406,6
29,56
40,56
587,27
595,49
580,15
525,79
14,3
293,83
188,76
443,37
454,37
503,51
617,73
2,56
600,11
518,58
621,43
352,7
252,69
370,52
381,52
215,38
236,70
310,19
527,26
579,64
257,13
614,31
208,8
590,73
492,14
629,10
278,72
289,72
176,70
490,80
599,5
31,60
20,60
481,40
389,52
482,14
276,13
578,58
620,73
349,6
609,82
172,44
98,15
621,56
319,72
591,15
5,34
489,22
500,22
564,25
618,5
112,44
363,53
544,37
281,72
206,78
145,68
514,51
73,61
218,61
462,22
419,51
566,70
23,60
4,56
323,83
401,21
13,34
412,21
168,69
530,4
32,56
613,29
327,62
35,61
248,25
300,72
285,83
606,35
92,61
521,58
104,44
575,47
373,52
624,61
228,70
81,60
396,72
62,56
617,31
574,69
574,78
167,78
106,71
601,41
267,25
120,15
212,0
506,32
558,70
304,83
570,44
16,34
578,57
160,69
495,50
404,39
515,37
590,49
134,44
268,25
624,56
281,71
311,72
102,78
620,31
54,56
464,40
475,40
114,70
85,34
567,25
169,15
53,60
366,53
357,84
484,36
343,6
296,83
307,83
57,48
148,68
182,70
202,57
355,7
465,40
132,78
384,52
459,64
556,15
616,29
271,13
612,77
615,73
270,57
344,6
604,82
83,60
156,44
533,40
628,12
240,25
448,63
314,72
326,83
437,81
609,35
632,9
505,54
516,54
613,5
161,15
56,60
221,66
252,44
316,47
414,52
190,69
231,70
339,21
548,15
65,56
392,33
606,11
194,57
259,25
113,69
198,18
322,72
39,3
376,52
27,56
274,13
8,61
122,46
87,34
222,2
295,72
335,19
84,56
441,37
452,37
37,60
99,44
76,60
478,40
330,62
331,39
173,78
262,25
565,44
606,82
11,34
144,69
174,70
185,70
30,56
255,13
124,78
387,52
422,28
95,60
619,29
607,82
410,53
611,43
97,69
109,71
306,72
615,31
38,56
49,56
187,8
498,22
585,27
333,62
605,5
361,53
508,81
577,13
554,57
573,70
177,70
501,51
232,15
574,44
609,11
197,57
126,15
350,7
586,27
368,52
379,52
390,52
234,70
244,16
581,25
117,70
445,15
78,60
129,44
426,20
184,78
540,14
287,72
298,72
444,37
604,35
90,61
550,64
519,58
364,53
123,76
409,52
472,1
483,1
512,37
52,61
347,6
399,7
159,44
180,76
265,25
118,15
599,41
253,69
317,72
108,78
402,21
371,52
485,74
611,24
432,58
132,44
71,34
542,37
532,14
279,72
204,78
456,15
424,81
531,55
596,35
112,71
21,60
321,83
576,44
41,56
473,40
588,27
539,22
619,5
44,61
246,16
223,23
622,56
455,37
139,69
3,56
